IL28A	IFNL2
PRSS33	PRSS33
SFN	SFN
FGD2	FGD2
GALNTL1	GALNT16
MED25	MED25
ZNF114	ZNF114
ACACB	ACACB
LAMP1	LAMP1
LUZP1	LUZP1
CARD10	CARD10
GAK	GAK
PIGW	PIGW
SAMM50	SAMM50
CLEC11A	CLEC11A
EME1	EME1
TIGD1	TIGD1
ALK	ALK
ASMTL	ASMTL
SF3A2	SF3A2
ARMCX6	ARMCX6
CCDC7	CCDC7
ABCC10	ABCC10
DNTT	DNTT
COPB1	COPB1
STK35	STK35
ANKRD9	ANKRD9
VPS37C	VPS37C
RAE1	RAE1
HIC2	HIC2
ALMS1	ALMS1
OTUD7A	OTUD7A
C8orf42	C8orf42
C9orf169	C9orf169
HMMR	HMMR
UBE2J1	UBE2J1
LPAR5	LPAR5
LRRC14	LRRC14
EPPK1	EPPK1
CEP290	CEP290
VAMP1	VAMP1
PIPOX	PIPOX
UNC13C	UNC13C
SHMT2	SHMT2
LARS2	LARS2
ASH1L-AS1	ASH1L-AS1
ALOX5	ALOX5
HS6ST2	HS6ST2
CXXC11	CXXC11
TCF7L2	TCF7L2
PKNOX2	PKNOX2
FAM26F	FAM26F
CHST13	CHST13
C14orf180	C14orf180
AFG3L2	AFG3L2
ZC3H12D	ZC3H12D
RAB28	RAB28
RORC	RORC
LRRC57	LRRC57
DCN	DCN
SIN3A	SIN3A
GNB5	GNB5
PTP4A3	PTP4A3
CYP11B2	CYP11B2
ACTL9	ACTL9
RPS28	RPS28
PLEKHH1	PLEKHH1
C12orf52	C12orf52
CSNK1G2	CSNK1G2
NEK8	NEK8
LRRC10B	LRRC10B
DEFB124	DEFB124
FLJ44342	FLJ44342
ATP5I	ATP5I
MCHR1	MCHR1
FAM83C	FAM83C
GBP6	GBP6
HOXD11	HOXD11
SCARNA17	SCARNA17
SPTAN1	SPTAN1
SEC23B	SEC23B
YARS	YARS
STOX2	STOX2
LOC100216546	LOC100216546
LOC100272217	LOC100272217
ELAVL1	ELAVL1
SPON1	SPON1
PAN3	PAN3
MLL2	MLL2
PRRT3-AS1	PRRT3-AS1
PRRT3	PRRT3
HAUS6	HAUS6
TADA2B	TADA2B
MALSU1	MALSU1
GPR17	GPR17
NARS	NARS
REEP6	REEP6
MAST2	MAST2
CDCA7L	CDCA7L
UCN	UCN
SFR1	SFR1
RRN3P2	RRN3P2
CES2	CES2
TMEM106A	TMEM106A
YWHAQ	YWHAQ
ELL3	ELL3
TFRC	TFRC
ANKRD50	ANKRD50
CEL	CEL
EFEMP2	EFEMP2
ESYT2	ESYT2
FAM54A	MTFR2
NDUFB1	NDUFB1
